epoch,loss,dice,iou
1,0.8987588380761367,0.35142338088306263,0.3051971279625209
2,0.9184226764766815,0.39355304381417994,0.29431978901781813
3,0.829681420379482,0.46078924319147546,0.32764528514783464
4,0.8445314519403692,0.4555099847514093,0.39453997614028724
5,0.7719020833476968,0.48791751661391125,0.3654217355834689
6,0.7638300338038541,0.48589843997791077,0.3894660319995658
7,0.7838592693368749,0.49282029613537925,0.3917912625244643
8,0.7527473344307896,0.5044730046521786,0.40688219793149466
9,0.7095447922467315,0.5194620258809238,0.4045371843510686
10,0.6384902140233208,0.5266584342143735,0.44179365293399553
11,0.5756786759024904,0.5389336040330761,0.4653414789604068
12,0.5902250964100312,0.5969760129782707,0.5066971231525617
13,0.5743416236180463,0.6016071045318754,0.4799142860772702
14,0.5478262565444344,0.6079907963231911,0.5203363852725578
15,0.5590303478626324,0.6129906228836444,0.5531292822582093
16,0.45939629792694436,0.6515763406116617,0.5745949471056592
17,0.4572655481963142,0.6762525514620875,0.547246899278171
18,0.4276800411769537,0.6726778980873604,0.5850852799479145
19,0.4247742377661203,0.6780623547188533,0.5807971263605944
20,0.3988107126854278,0.7190304453941168,0.579712480340253
1,0.671205461025238,0.0002793296007439494,0.0002793296007439494
